rep,Method,Item,Accuracy
7,MICE (random forest),Problems concentrating or making decision,0.7916666666666666
7,MICE (random forest),Overeating or loss of appetite,0.6818181818181818
7,MICE (random forest),Feeling anxious,0.8620689655172413
7,MICE (random forest),Feeling of guilt,0.5185185185185185
7,MICE (random forest),Problems of bonding with baby,0.47619047619047616
7,Iterative MCA (2 dims),Age,0.2
7,Iterative MCA (2 dims),Feeling sad or Tearful,0.5714285714285714
7,Iterative MCA (2 dims),Irritable towards baby & partner,0.631578947368421
7,Iterative MCA (2 dims),Trouble sleeping at night,0.17647058823529413
7,Iterative MCA (2 dims),Problems concentrating or making decision,0.3333333333333333
7,Iterative MCA (2 dims),Overeating or loss of appetite,0.5454545454545454
7,Iterative MCA (2 dims),Feeling anxious,0.7586206896551724
7,Iterative MCA (2 dims),Feeling of guilt,0.37037037037037035
7,Iterative MCA (2 dims),Problems of bonding with baby,0.47619047619047616
8,Marginal sampling,Age,0.17391304347826086
8,Marginal sampling,Feeling sad or Tearful,0.38461538461538464
8,Marginal sampling,Irritable towards baby & partner,0.3333333333333333
8,Marginal sampling,Trouble sleeping at night,0.3157894736842105
8,Marginal sampling,Problems concentrating or making decision,0.35
8,Marginal sampling,Overeating or loss of appetite,0.45
8,Marginal sampling,Feeling anxious,0.631578947368421
8,Marginal sampling,Feeling of guilt,0.19230769230769232
8,Marginal sampling,Problems of bonding with baby,0.35714285714285715
8,Mode,Age,0.2608695652173913
8,Mode,Feeling sad or Tearful,0.2692307692307692
8,Mode,Irritable towards baby & partner,0.3333333333333333
8,Mode,Trouble sleeping at night,0.2631578947368421
8,Mode,Problems concentrating or making decision,0.35
8,Mode,Overeating or loss of appetite,0.65
8,Mode,Feeling anxious,0.7368421052631579
8,Mode,Feeling of guilt,0.38461538461538464
8,Mode,Problems of bonding with baby,0.32142857142857145
8,"KNN (Hamming, k=7)",Age,0.13043478260869565
8,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.5384615384615384
8,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.4166666666666667
8,"KNN (Hamming, k=7)",Trouble sleeping at night,0.3684210526315789
8,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.7
8,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.75
8,"KNN (Hamming, k=7)",Feeling anxious,0.6842105263157895
8,"KNN (Hamming, k=7)",Feeling of guilt,0.46153846153846156
8,"KNN (Hamming, k=7)",Problems of bonding with baby,0.42857142857142855
8,MICE (logistic),Age,0.17391304347826086
8,MICE (logistic),Feeling sad or Tearful,0.34615384615384615
8,MICE (logistic),Irritable towards baby & partner,0.4583333333333333
8,MICE (logistic),Trouble sleeping at night,0.3684210526315789
8,MICE (logistic),Problems concentrating or making decision,0.35
8,MICE (logistic),Overeating or loss of appetite,0.7
8,MICE (logistic),Feeling anxious,0.7894736842105263
8,MICE (logistic),Feeling of guilt,0.5
8,MICE (logistic),Problems of bonding with baby,0.42857142857142855
8,MICE (random forest),Age,0.21739130434782608
8,MICE (random forest),Feeling sad or Tearful,0.38461538461538464
8,MICE (random forest),Irritable towards baby & partner,0.5416666666666666
8,MICE (random forest),Trouble sleeping at night,0.3684210526315789
8,MICE (random forest),Problems concentrating or making decision,0.55
8,MICE (random forest),Overeating or loss of appetite,0.8
8,MICE (random forest),Feeling anxious,0.7894736842105263
8,MICE (random forest),Feeling of guilt,0.46153846153846156
8,MICE (random forest),Problems of bonding with baby,0.4642857142857143
8,Iterative MCA (2 dims),Age,0.17391304347826086
8,Iterative MCA (2 dims),Feeling sad or Tearful,0.38461538461538464
8,Iterative MCA (2 dims),Irritable towards baby & partner,0.4166666666666667
